Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946690082,17.95,0.00,4.09,87.21,0
946690102,17.97,0.00,4.09,87.21,0
946690123,18.15,0.00,4.09,87.21,0
946690143,18.17,0.00,4.09,87.21,0
946690162,18.39,0.00,4.09,87.21,0
946690182,18.52,0.00,4.09,87.21,0
946690202,18.54,0.00,4.09,87.21,0
946690222,18.73,0.00,4.09,87.21,0
946690243,18.75,0.00,4.09,87.21,0
946690263,18.91,0.00,4.09,87.21,0
946690283,19.05,0.00,4.09,87.21,0
946690302,19.07,0.00,4.09,87.21,0
946690322,19.28,0.00,4.09,87.21,0
946690342,19.30,0.00,4.09,87.21,0
946690363,19.47,0.00,4.09,87.21,0
946690383,19.63,0.00,4.09,87.21,0
946690403,19.65,0.00,4.09,87.21,0
946690422,19.81,0.00,4.09,87.21,0
946690442,19.83,0.00,4.09,87.21,0
946690462,20.03,0.00,4.09,87.21,0
946690483,20.17,0.00,4.09,87.21,0
946690503,20.19,0.00,4.09,87.21,0
946690523,20.35,0.00,4.09,87.21,0
946690542,20.37,0.00,4.09,87.21,0
946690562,20.58,0.00,4.09,87.21,0
946690582,20.61,0.00,4.09,87.21,0
946690603,20.82,0.00,4.09,87.21,0
946690623,20.84,0.00,4.09,87.21,0
946690642,21.04,0.00,4.09,87.21,0
946690662,21.06,0.00,4.09,87.21,0
946690682,21.25,0.00,4.09,87.21,0
946690703,21.27,0.00,4.09,87.21,0
946690723,21.43,0.00,4.09,87.21,0
946690743,21.58,0.00,4.09,87.21,0
946690762,21.60,0.00,4.09,87.21,0
946690782,21.79,0.00,4.09,87.21,0
946690802,21.93,0.00,4.09,87.21,0
946690823,21.95,0.00,4.09,87.21,0
946690843,22.11,0.00,4.09,87.21,0
946690863,22.25,0.00,4.09,87.21,0
946690882,22.27,0.00,4.09,87.21,0
946690902,22.41,0.00,4.09,87.21,0
946690922,22.55,0.00,4.09,87.21,0
946690943,22.58,0.00,4.09,87.21,0
946690963,22.73,0.00,4.09,87.21,0
946690983,22.76,0.00,4.09,87.21,0
946691002,23.00,0.00,4.09,87.21,0
946691022,23.01,0.00,4.09,87.21,0
946691042,23.19,0.00,4.09,87.21,0
946691063,23.33,0.00,4.09,87.21,0
946691083,23.35,0.00,4.09,87.21,0
946691102,23.49,0.00,4.09,87.21,0
946691122,23.52,0.00,4.09,87.21,0
946691142,23.71,0.00,4.09,87.21,0
946691162,23.73,0.00,4.09,87.21,0
946691183,23.91,0.00,4.09,87.21,0
946691203,24.06,0.00,4.09,87.21,0
946691223,24.08,0.00,4.09,87.21,0
946691242,24.24,0.00,4.09,87.21,0
946691262,24.27,0.00,4.09,87.21,0
946691282,24.47,0.00,4.09,87.21,0
946691303,24.50,0.00,4.09,87.21,0
946691323,24.69,0.00,4.09,87.21,0
946691343,24.71,0.00,4.09,87.21,0
946691362,24.88,0.00,4.09,87.21,0
946691382,24.91,0.00,4.09,87.21,0
946691402,25.11,0.00,4.09,87.21,0
946691422,25.24,0.00,4.09,87.21,0
946691443,25.25,0.00,4.09,87.21,0
946691463,25.39,0.00,4.09,87.21,0
946691482,25.41,0.00,4.09,87.21,0
946691502,25.58,0.00,4.09,87.21,0
946691522,25.60,0.00,4.09,87.21,0
946691543,25.76,0.00,4.09,87.21,0
946691563,25.77,0.00,4.09,87.21,0
946691583,25.92,0.00,4.09,87.21,0
946691602,25.93,0.00,4.09,87.21,0
946691622,26.07,0.00,4.09,87.21,0
946691642,26.08,0.00,4.09,87.21,0
946691662,26.21,0.00,4.09,87.21,0
946691683,26.23,0.00,4.09,87.21,0
946691703,26.39,0.00,4.09,87.21,0
946691723,26.39,0.00,4.09,87.21,0
946691742,26.41,0.00,4.09,87.21,0
946691762,26.54,0.00,4.09,87.21,0
946691782,26.55,0.00,4.09,87.21,0
946691803,26.58,0.00,4.09,87.21,0
946691823,26.74,0.00,4.09,87.21,0
946691842,26.75,0.00,4.09,87.21,0
946691862,26.90,0.00,4.09,87.21,0
946691882,26.90,0.00,4.09,87.21,0
946691903,26.92,0.00,4.08,87.21,0
946691923,27.09,0.00,4.09,87.21,0
946691943,27.10,0.00,4.08,87.21,0
946691962,27.23,0.00,4.08,87.21,0
946691982,27.24,0.00,4.08,87.21,0
946692002,27.26,0.00,4.08,87.21,0
946692023,27.41,0.00,4.08,87.21,0
946692043,27.42,0.00,4.08,87.21,0
946692063,27.44,0.00,4.08,87.21,0
946692082,27.58,0.00,4.08,87.21,0
946692102,27.59,0.00,4.08,87.21,0
946692122,27.73,0.00,4.08,87.21,0
946692143,27.74,0.00,4.08,87.21,0
946692163,27.76,0.00,4.08,87.21,0
946692183,27.78,0.00,4.08,87.21,0
946692202,27.96,0.00,4.08,87.21,0
946692222,27.97,0.00,4.08,87.21,0
946692242,27.98,0.00,4.08,87.21,0
946692263,28.01,0.00,4.08,87.21,0
946692283,28.15,0.00,4.08,87.21,0
946692302,28.15,0.00,4.08,87.21,0
946692322,28.17,0.00,4.08,87.21,0
946692342,28.20,0.00,4.08,87.21,0
946692362,28.22,0.00,4.08,87.21,0
946692383,28.37,0.00,4.08,87.21,0
946692403,28.38,0.00,4.08,87.21,0
946692422,28.39,0.00,4.08,87.21,0
946692442,28.41,0.00,4.08,87.21,0
946692462,28.54,0.00,4.08,87.21,0
946692483,28.54,0.00,4.08,87.21,0
946692503,28.56,0.00,4.08,87.21,0
946692523,28.57,0.00,4.08,87.21,0
946692542,28.59,0.00,4.08,87.21,0
946692562,28.73,0.00,4.08,87.21,0
946692582,28.73,0.00,4.08,87.21,0
946692603,28.74,0.00,4.08,87.21,0
946692623,28.75,0.00,4.08,87.21,0
946692643,28.77,0.00,4.08,87.21,0
946692662,28.79,0.00,4.08,87.21,0
946692682,28.81,0.00,4.08,87.21,0
946692702,28.84,0.00,4.08,87.21,0
946692723,28.97,0.00,4.08,87.21,0
946692743,28.97,0.00,4.08,87.21,0
946692763,28.98,0.00,4.08,87.21,0
946692782,28.99,0.00,4.08,87.21,0
946692802,29.00,0.00,4.08,87.21,0
946692822,29.02,0.00,4.08,87.21,0
946692843,29.04,0.00,4.08,87.21,0
946692863,29.06,0.00,4.08,87.21,0
946692882,29.08,0.00,4.08,87.21,0
946692902,29.10,0.00,4.08,87.21,0
946692922,29.12,0.00,4.08,87.21,0
946692942,29.14,0.00,4.08,87.21,0
946692963,29.16,0.00,4.08,87.21,0
946692983,29.19,0.00,4.08,87.21,0
946693002,29.21,0.00,4.08,87.21,0
946693022,29.23,0.00,4.08,87.21,0
946693042,29.25,0.00,4.08,87.21,0
946693062,29.27,0.00,4.08,87.21,0
946693083,29.29,0.00,4.08,87.21,0
946693103,29.31,0.00,4.08,87.21,0
946693122,29.33,0.00,4.08,87.21,0
946693142,29.34,0.00,4.08,87.21,0
946693162,29.36,0.00,4.08,87.21,0
946693183,29.38,0.00,4.08,87.21,0
946693203,29.39,0.00,4.08,87.21,0
946693223,29.42,0.00,4.08,87.21,0
