Time (America/New_York),MSNB_S Wind speed (knots),MSNB_S Wind speed (knots) quality,MSNB_S Rain (day) (in),MSNB_S Rain (day) (in) quality,MSNB_S Rain (last 6 min) (in),MSNB_S Rain (last 6 min) (in) quality
2025-05-08 04:36,3.59,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 04:42,3.50,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 04:48,2.99,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 04:54,3.16,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 05:00,3.27,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 05:06,2.84,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 05:12,3.17,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 05:18,3.62,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 05:24,3.67,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 05:30,3.49,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 05:36,2.93,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 05:42,2.38,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 05:48,2.50,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 05:54,2.53,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 06:00,2.76,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 06:06,2.70,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 06:12,2.17,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 06:18,2.28,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 06:24,1.70,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 06:30,0.74,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 06:36,0.25,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 06:42,0.75,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 06:48,0.76,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 06:54,0.23,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 07:00,0.92,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 07:06,2.20,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 07:12,2.68,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 07:18,2.68,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 07:24,2.73,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 07:30,3.08,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 07:36,2.74,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 07:42,2.36,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 07:48,2.39,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 07:54,2.13,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 08:00,2.52,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 08:06,3.14,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 08:12,3.38,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 08:18,3.95,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 08:24,4.33,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 08:30,4.27,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 08:36,4.82,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 08:42,4.64,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 08:48,4.68,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 08:54,4.44,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 09:00,4.51,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 09:06,4.36,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 09:12,4.20,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 09:18,4.82,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 09:24,5.18,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 09:30,5.45,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 09:36,6.47,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 09:42,6.69,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 09:48,6.16,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 09:54,5.16,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 10:00,3.57,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 10:06,4.45,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 10:12,4.50,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 10:18,4.21,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 10:24,4.48,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 10:30,4.12,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 10:36,4.15,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 10:42,4.19,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 10:48,4.69,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 10:54,5.14,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 11:00,4.89,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 11:06,5.32,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 11:12,5.36,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 11:18,5.94,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 11:24,6.40,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 11:30,6.03,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 11:36,6.71,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 11:42,6.83,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 11:48,6.91,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 11:54,6.94,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 12:00,7.42,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 12:06,7.41,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 12:12,7.83,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 12:18,8.37,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 12:24,8.07,good,0.00,not evaluated,0.00,not evaluated
